Price,Close,High,Low,Open,Volume,Close_diff,LogReturn,Volatility
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,,,
Date,,,,,,,,
2020-02-14,1804.442626953125,1826.168397846035,1797.6652857546248,1803.913854929708,771464,2.8839111328125,0.0015995067519579318,0.012841082503619193
2020-02-17,1808.6243896484375,1820.2563183583845,1798.2421043999698,1807.1824121055076,676579,4.1817626953125,0.0023148004414863203,0.01267364390392644
2020-02-18,1791.5611572265625,1807.1825820775534,1789.0136398580967,1807.1825820775534,683421,-17.063232421875,-0.009479155986113864,0.011885828385968654
2020-02-19,1811.9892578125,1819.5355845415427,1779.7369753103842,1797.7616971226435,723351,20.4281005859375,0.011337884621900824,0.011191751723758898
2020-02-20,1770.9886474609375,1813.0463233064613,1767.9124758241783,1810.1623683913397,1401879,-41.0006103515625,-0.022887330705787842,0.012565715236399756
2020-02-24,1748.590087890625,1781.3230269331161,1743.8316086652308,1773.8728092003953,1310832,-22.3985595703125,-0.012728149386670402,0.012930856602544186
2020-02-25,1755.4635009765625,1772.2385774102604,1749.7916989655942,1767.2877641969126,897257,6.8734130859375,0.003923126018078594,0.012948595303255098
2020-02-26,1755.9923095703125,1773.6324790494361,1749.599518628712,1755.367429129686,1909619,0.52880859375,0.0003011905182796899,0.012867514212708589
2020-02-27,1772.47900390625,1780.3617682517888,1740.4189397406717,1759.0685411283328,1643273,16.4866943359375,0.009345018197449664,0.012845670977222227
2020-02-28,1728.4022216796875,1770.844448858893,1714.174780992461,1749.5993375158855,2964119,-44.0767822265625,-0.025181723413484,0.01410805959962646
2020-03-02,1717.6837158203125,1766.3743975341438,1700.8125314347442,1744.8889553672238,1219296,-10.718505859375,-0.006220704079000764,0.014129064670541697
2020-03-03,1737.85595703125,1754.698311185018,1705.4741011352733,1718.0697549524311,1392463,20.1722412109375,0.01167543843794182,0.01107833790107814
2020-03-04,1783.60546875,1792.7746845842166,1741.2341340456974,1741.2341340456974,3050469,45.74951171875,0.02598471506630813,0.012319008949837016
2020-03-05,1809.1827392578125,1816.4698999589334,1787.6109762840226,1789.4448429988643,2062439,25.5772705078125,0.014238358140794391,0.012595072803557988
2020-03-06,1812.0782470703125,1818.7863228461022,1771.1063782544552,1775.9322811924783,1393659,2.8955078125,0.0015991713607499808,0.012409965455731376
2020-03-09,1802.1368408203125,1849.1893914141301,1783.6536102025584,1822.2608312026136,3420741,-9.94140625,-0.005501294793287248,0.012488013781152623
2020-03-11,1817.2901611328125,1838.6689337161145,1787.0317746852418,1809.6652112820327,3194186,15.1533203125,0.008373374482638949,0.012559473939687763
2020-03-12,1779.1656494140625,1809.5206502143149,1751.802802753219,1800.0135269737575,6254349,-38.12451171875,-0.02120195095911255,0.013418286662443397
2020-03-13,1735.1051025390625,1779.5517159139847,1611.7067874564775,1722.8473561526578,3878300,-44.060546875,-0.02507652873219346,0.014284424368219684
2020-03-16,1624.78515625,1715.126042998132,1619.7179577549296,1715.126042998132,2867336,-110.3199462890625,-0.06569239389384904,0.02008601404413264
2020-03-17,1671.306640625,1717.8284144896713,1611.8515414619972,1639.8417778107384,2643189,46.521484375,0.028230144531470328,0.021397819168998685
2020-03-18,1561.8553466796875,1697.3185508854992,1552.010550761774,1671.6929564175327,3676437,-109.4512939453125,-0.06773130066434589,0.025648883422581762
2020-03-19,1545.4471435546875,1596.3604206646735,1381.366440072268,1486.3781374289758,4906644,-16.408203125,-0.010561157587885804,0.02565478533463685
2020-03-20,1682.2615966796875,1696.2085280119366,1515.8645439190948,1553.9408741101674,3128629,136.814453125,0.08482579483385892,0.03275748003650127
2020-03-23,1446.27490234375,1592.5480774322293,1438.8430584436946,1523.6341552448175,2155326,-235.9866943359375,-0.15114785867717598,0.04641602821823969
2020-03-24,1471.755615234375,1542.3585997309706,1402.6487077966415,1502.3519109647814,3910566,25.480712890625,0.017464766325762555,0.04681626187335527
2020-03-25,1537.6776123046875,1549.4527693838847,1395.6512527502503,1396.1821492482077,2196415,65.9219970703125,0.04381724996055478,0.04820791538277232
2020-03-26,1560.648681640625,1592.5479467319099,1519.1942231248643,1549.1148209119485,2622118,22.9710693359375,0.014828322171358523,0.0484266789711882
2020-03-27,1548.2945556640625,1607.267069525706,1496.2229891601332,1606.8327853632984,2102479,-12.3541259765625,-0.007947517893069004,0.048294419569171514
2020-03-30,1539.4146728515625,1563.1099025090637,1504.7647853229278,1535.7470574493113,1844011,-8.8798828125,-0.0057517768911200026,0.0480994022877594
2020-03-31,1608.4732666015625,1631.155007834768,1546.0261368023503,1568.4182767641998,2789174,69.05859375,0.04388318586704791,0.04936395078290615
2020-04-01,1547.3775634765625,1597.3739680329882,1529.0874373753845,1592.5963709665305,1559455,-61.095703125,-0.038723843949031514,0.049844141140383595
2020-04-03,1467.943359375,1559.7320209550958,1464.4204262339845,1558.8633347556806,2925847,-79.4342041015625,-0.052699257614004257,0.05030607956069156
2020-04-07,1567.26025390625,1578.0702291430646,1484.4477140195922,1486.3780751561587,2733586,99.31689453125,0.06546668784505832,0.05283194197454301
2020-04-08,1552.9271240234375,1629.0317009825296,1544.2888056448162,1567.2601487567372,2382213,-14.3331298828125,-0.009187416630191212,0.052792675010117175
2020-04-09,1593.85107421875,1620.4418487781559,1562.5791969785885,1582.896297189378,1489539,40.9239501953125,0.026011529900528095,0.0533298044726868
2020-04-13,1622.323974609375,1644.3301419493466,1547.0398791472446,1588.6874503931617,2586159,28.472900390625,0.017706526453932163,0.053504045529747996
2020-04-15,1658.3734130859375,1676.2775619988897,1625.1712916327745,1644.3301047497646,2508270,36.0494384765625,0.021977576860154797,0.053715269355506454
2020-04-16,1682.4063720703125,1691.2861047666354,1626.0881045521633,1632.120483631226,1821296,24.032958984375,0.014387882542052435,0.05360628569429054
2020-04-17,1695.0985107421875,1721.5926723657553,1666.9634713273117,1701.6134801073176,1398686,12.692138671875,0.00751572468809356,0.05145149083475475
2020-04-20,1670.1968994140625,1697.4150659148934,1646.2604886854285,1697.0289700699343,1431055,-24.901611328125,-0.014799334256263742,0.05120118225390421
2020-04-21,1665.90185546875,1692.8786083757532,1640.8071577618045,1650.4589645721683,1594930,-4.2950439453125,-0.0025748915927992218,0.048677683805245606
2020-04-22,1749.8724365234375,1758.559061966742,1652.6304905886684,1657.3115929580251,3727805,83.9705810546875,0.04917626013688105,0.04961106623493658
