Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,HINDUNILVR.NS,ICICIBANK.NS,LT.NS,SUNPHARMA.NS,ITC.NS,ASIANPAINT.NS
2020-01-01,,,,,,,,,,
2020-01-02,0.016881152718118613,-0.004600972702143378,0.006353951640300327,-0.002922151165153554,0.0007742032664066602,0.0071470478316209545,0.026628276637708895,0.001495522264994205,0.0073231290350039375,-0.0014230821727496108
2020-01-03,0.0012041946788586958,0.019733492392220185,-0.014363389176127905,0.015263360769427869,-0.005484365492982613,-0.0032423911363980615,-0.0076483998762322345,0.021943834300487873,-0.005644600230332766,-0.02216325129443284
2020-01-06,-0.023465411669680716,-9.120247479009104e-05,-0.021879274747485668,-0.009630634236688154,-0.00624542250127306,-0.0247062695605417,-0.013802141852136574,-0.01051386082632515,-0.014358274685976011,-0.025590297430700713
2020-01-07,0.015267536148627444,0.0024513783844812066,0.015710641105704783,-0.014931232611574205,0.002737284436682321,-0.005340507470969858,0.0028438146100485374,0.01455427212216698,0.0010626737154441012,0.010054011833299716
2020-01-08,-0.007538527871561728,0.02214752876607446,-0.0026210640358729663,-0.013415724154527402,0.004493498932275796,0.0058158987185669,-0.02216739853572013,-0.014213296585070066,-0.004898356409507964,0.002548396787680842
2020-01-09,0.022770150609332743,-0.018302071570075833,0.011152045895112643,0.012934839452016367,0.002949930210017908,0.03796190254234209,0.018867700171992893,-0.000568381664809562,0.00680858511691473,0.024991479665960332
2020-01-10,-0.00022612735548843062,-0.0003611753431403102,0.008848492638077368,0.014464288313399404,0.009745302401537478,-0.01113601369822261,0.006399796341866233,0.008489657545970473,0.009286770659560344,0.011220042601834875
2020-01-13,-0.0025554850024318678,-0.010535922475703379,0.0025694264829608906,0.04684328406125202,0.020690455106882864,-0.0030590184296266287,0.007596051212282218,0.0022516094080672344,0.0052383089055110625,0.006866090864277578
2020-01-14,-0.009306640451390133,0.00752738514723132,0.0027179692160919366,0.002710968616212201,0.006968615242543736,-0.0018583050774108303,-0.006464197061957222,0.0031439196501149734,0.016580728178470394,0.007864137827736544
2020-01-15,-0.003635481693367079,0.009021405302942048,-0.0040797786192033865,-0.010497729487958697,0.006376385684159149,-0.0037272380194595554,-0.001887001163535671,0.006815319260536013,-0.003500525539056548,0.012618203565416996
2020-01-16,0.009177754402112824,0.005329701427632426,0.002643952392664018,-0.000716635185719819,0.013559823562757548,0.002889949174175691,-0.0032540312018896323,0.0,-0.006830207462251746,-0.003861266103410424
2020-01-17,0.027639766138629552,-0.008838308078314257,-0.007404995581549145,0.0011075362335492413,0.005377896296152166,-0.009539979946878697,-0.011511692131467697,0.012283759572108208,-0.003328663793102859,-0.002782925083651636
